benchmark,tablesize,missrate
fft,512,12.784341385998943
fft,1024,12.184799858931406
fft,2048,11.814494798095573
fft,4096,11.83212837242109
insersort,512,12.798036465638148
insersort,1024,12.22533894343151
insersort,2048,11.8630201028518
insersort,4096,11.892239364188875
hello,512,4.591370738830582
hello,1024,3.9766356929168736
hello,2048,3.9049895265336927
hello,4096,3.8686195260414675
fibonacci,512,11.6364
fibonacci,1024,11.618
fibonacci,2048,11.604000000000001
fibonacci,4096,11.6056
oddeven,512,13.747307968413496
oddeven,1024,13.22941236796226
oddeven,2048,12.906368577581787
oddeven,4096,12.92687929443134
linpack,512,1.0574
linpack,1024,1.0348
linpack,2048,1.0306
linpack,4096,1.0432000000000001
